id,date,group,from,to,x,z,y,direction,idk,funny
2276,2023-11-23 12:36:03,15,nrf5340,raspi,1963,1662,1616,5,0,fuck IT with a stick
2277,2023-11-23 12:36:05,15,nrf5340,raspi,1953,1674,1609,5,0,fuck IT with a stick
2278,2023-11-23 12:36:07,15,nrf5340,raspi,1960,1666,1613,5,0,fuck IT with a stick
2279,2023-11-23 12:36:09,15,nrf5340,raspi,1962,1667,1618,5,0,fuck IT with a stick
2280,2023-11-23 12:36:11,15,nrf5340,raspi,1953,1675,1612,5,0,fuck IT with a stick
2281,2023-11-23 12:36:13,15,nrf5340,raspi,1976,1673,1618,5,0,fuck IT with a stick
2282,2023-11-23 12:36:14,15,nrf5340,raspi,1958,1674,1614,5,0,fuck IT with a stick
2283,2023-11-23 12:36:16,15,nrf5340,raspi,1959,1698,1616,5,0,fuck IT with a stick
2284,2023-11-23 12:36:18,15,nrf5340,raspi,1960,1693,1620,5,0,fuck IT with a stick
2285,2023-11-23 12:36:20,15,nrf5340,raspi,1961,1691,1611,5,0,fuck IT with a stick
2286,2023-11-23 12:36:22,15,nrf5340,raspi,1957,1691,1612,5,0,fuck IT with a stick
2287,2023-11-23 12:36:24,15,nrf5340,raspi,1959,1698,1618,5,0,fuck IT with a stick
2288,2023-11-23 12:36:26,15,nrf5340,raspi,1965,1694,1624,5,0,fuck IT with a stick
2289,2023-11-23 12:36:27,15,nrf5340,raspi,1965,1692,1612,5,0,fuck IT with a stick
2290,2023-11-23 12:36:29,15,nrf5340,raspi,1959,1691,1611,5,0,fuck IT with a stick
2291,2023-11-23 12:36:31,15,nrf5340,raspi,1959,1691,1617,5,0,fuck IT with a stick
2292,2023-11-23 12:36:33,15,nrf5340,raspi,1968,1694,1603,5,0,fuck IT with a stick
2293,2023-11-23 12:36:35,15,nrf5340,raspi,1953,1695,1613,5,0,fuck IT with a stick
2294,2023-11-23 12:36:37,15,nrf5340,raspi,1952,1693,1608,5,0,fuck IT with a stick
2295,2023-11-23 12:36:38,15,nrf5340,raspi,1966,1693,1613,5,0,fuck IT with a stick
2296,2023-11-23 12:36:40,15,nrf5340,raspi,1952,1696,1617,5,0,fuck IT with a stick
2297,2023-11-23 12:36:42,15,nrf5340,raspi,1969,1692,1602,5,0,fuck IT with a stick
2298,2023-11-23 12:36:55,15,nrf5340,raspi,1291,1705,1652,6,0,fuck IT with a stick
2299,2023-11-23 12:36:57,15,nrf5340,raspi,1283,1704,1644,6,0,fuck IT with a stick
2300,2023-11-23 12:36:59,15,nrf5340,raspi,1291,1700,1655,6,0,fuck IT with a stick
2301,2023-11-23 12:37:01,15,nrf5340,raspi,1278,1698,1639,6,0,fuck IT with a stick
2302,2023-11-23 12:37:03,15,nrf5340,raspi,1290,1704,1654,6,0,fuck IT with a stick
2303,2023-11-23 12:37:04,15,nrf5340,raspi,1281,1699,1654,6,0,fuck IT with a stick
2304,2023-11-23 12:37:06,15,nrf5340,raspi,1287,1693,1654,6,0,fuck IT with a stick
2305,2023-11-23 12:37:08,15,nrf5340,raspi,1278,1700,1652,6,0,fuck IT with a stick
2306,2023-11-23 12:37:10,15,nrf5340,raspi,1286,1700,1652,6,0,fuck IT with a stick
2307,2023-11-23 12:37:12,15,nrf5340,raspi,1276,1696,1654,6,0,fuck IT with a stick
2308,2023-11-23 12:37:14,15,nrf5340,raspi,1284,1705,1647,6,0,fuck IT with a stick
2309,2023-11-23 12:37:15,15,nrf5340,raspi,1284,1701,1654,6,0,fuck IT with a stick
2310,2023-11-23 12:37:17,15,nrf5340,raspi,1278,1697,1643,6,0,fuck IT with a stick
2311,2023-11-23 12:37:19,15,nrf5340,raspi,1284,1699,1647,6,0,fuck IT with a stick
2312,2023-11-23 12:37:21,15,nrf5340,raspi,1271,1696,1662,6,0,fuck IT with a stick
2313,2023-11-23 12:37:23,15,nrf5340,raspi,1281,1699,1641,6,0,fuck IT with a stick
2314,2023-11-23 12:37:25,15,nrf5340,raspi,1290,1698,1646,6,0,fuck IT with a stick
2315,2023-11-23 12:37:27,15,nrf5340,raspi,1286,1692,1647,6,0,fuck IT with a stick
2316,2023-11-23 12:37:29,15,nrf5340,raspi,1285,1699,1649,6,0,fuck IT with a stick
2317,2023-11-23 12:37:31,15,nrf5340,raspi,1280,1698,1650,6,0,fuck IT with a stick
2318,2023-11-23 12:37:32,15,nrf5340,raspi,1278,1697,1644,6,0,fuck IT with a stick
